,x_mean_PSD,x_max_PSD_f,x_max_PSD,x_PSD_above_20,y_mean_PSD,y_max_PSD_f,y_max_PSD,y_PSD_above_20,z_mean_PSD,z_max_PSD_f,z_max_PSD,z_PSD_above_20,surface
54,(1.2906135339843794+0j),12.187812187812188,(15.691988362254222+0j),0,(1.6163142757324769+0j),11.688311688311689,(20.45324188301995+0j),1,(4.355045439145309+0j),13.786213786213787,(50.3947364673868+0j),8,AS
55,(0.9469949926899734+0j),11.700000000000001,(12.003185697755628+0j),0,(1.3719767033536245+0j),14.8,(16.696668419361806+0j),0,(4.694340343718435+0j),10.100000000000001,(61.193813720748935+0j),14,AS
56,(1.171455537699482+0j),12.712712712712712,(14.943769483206175+0j),0,(1.2914237639753392+0j),12.712712712712712,(17.421153444245466+0j),0,(4.094485652573566+0j),10.41041041041041,(58.92223308457104+0j),11,AS
57,(1.0613152699164736+0j),10.4,(9.82982715046928+0j),0,(1.4004258667436613+0j),10.100000000000001,(22.83605855183352+0j),1,(4.089428044107383+0j),10.0,(55.99824385864635+0j),8,AS
58,(0.8530109895975035+0j),10.700000000000001,(8.770046333042721+0j),0,(1.5463671476919907+0j),12.600000000000001,(14.922347713292242+0j),0,(4.540242620268872+0j),11.100000000000001,(65.87507893790738+0j),14,AS
59,(0.629935223630138+0j),11.0,(10.90481977847177+0j),0,(1.2809132577286897+0j),10.4,(11.917711637516758+0j),0,(2.5234472266376327+0j),10.8,(30.195742038056384+0j),4,AS
60,(1.7404025859070407+0j),10.9,(24.94210796485063+0j),1,(2.5717396295474932+0j),10.100000000000001,(41.22666722247725+0j),2,(6.163622114584843+0j),12.5,(56.72371396060316+0j),20,AS
61,(1.6616123827098033+0j),14.114114114114113,(24.45058315325209+0j),1,(2.309788376351642+0j),12.712712712712712,(40.263620028028285+0j),3,(6.602909132205675+0j),10.31031031031031,(62.55691734591596+0j),18,AS
62,(1.401717363080067+0j),13.986013986013987,(18.84177339593896+0j),0,(1.6360908696721945+0j),13.786213786213787,(15.307671815561138+0j),0,(4.2947430372324975+0j),12.287712287712289,(54.603807750365156+0j),10,AS
63,(1.9748380959875218+0j),11.100000000000001,(33.845079772324176+0j),2,(2.221885674168291+0j),11.100000000000001,(24.962851685070405+0j),3,(6.85742887391617+0j),12.700000000000001,(107.73801048534762+0j),20,AS
64,(1.563999182534892+0j),13.813813813813812,(16.849595106373556+0j),0,(1.3244401634420058+0j),13.913913913913913,(16.325369051031355+0j),0,(4.048772281777136+0j),10.51051051051051,(71.74198836164486+0j),8,AS
65,(1.0003930184801992+0j),10.28971028971029,(37.68369854799888+0j),1,(1.5135778125918373+0j),10.28971028971029,(57.843029571948904+0j),2,(3.7977190728028867+0j),11.08891108891109,(72.06906848928503+0j),8,AS
66,(0.8617001463894393+0j),10.4,(18.389743054798906+0j),0,(1.0920847311381674+0j),10.4,(40.60603293102343+0j),2,(3.242386587431958+0j),10.700000000000001,(77.49722434126427+0j),5,AS
67,(0.8196951217450905+0j),10.3,(17.426112854844828+0j),0,(0.5636934195152264+0j),10.5,(6.73389587069797+0j),0,(2.115467719453423+0j),12.3,(63.27853397088467+0j),2,AS
68,(0.776755217363879+0j),11.3,(11.680162991049537+0j),0,(0.7674138693339703+0j),11.4,(10.86493647269765+0j),0,(1.9253748832199855+0j),12.700000000000001,(26.370043507525953+0j),1,AS
69,(1.0766235127868322+0j),10.600000000000001,(13.990754331495094+0j),0,(0.5991758870542557+0j),10.3,(10.038267012888559+0j),0,(2.2787014211712338+0j),11.100000000000001,(38.66076576583337+0j),5,AS
70,(0.7591729936537592+0j),10.8,(19.81222062576497+0j),0,(0.3170731221309048+0j),10.700000000000001,(5.2150455013455925+0j),0,(1.8234765663658083+0j),10.8,(38.36836972413713+0j),3,AS
71,(0.742292196081235+0j),10.600000000000001,(19.74820373091746+0j),0,(0.4244493069999436+0j),10.600000000000001,(6.675189019602975+0j),0,(1.3839942680539514+0j),10.600000000000001,(34.034940124804216+0j),2,AS
72,(1.0334030699800387+0j),11.3,(8.810329880760811+0j),0,(0.4270119394058658+0j),11.200000000000001,(7.72357286445962+0j),0,(1.903031750416734+0j),10.4,(26.716022556874265+0j),2,AS
73,(1.026726188905496+0j),10.600000000000001,(20.35659853854242+0j),1,(0.4478520080109153+0j),11.9,(9.78758830532186+0j),0,(1.5759662613631698+0j),10.600000000000001,(40.45961632470477+0j),3,AS
74,(0.6927499376646662+0j),10.700000000000001,(9.109079939043779+0j),0,(0.36696080649358587+0j),10.8,(9.351265563147738+0j),0,(1.4971545111564584+0j),10.5,(21.220830102214624+0j),1,AS
75,(1.0436672438340104+0j),10.700000000000001,(10.188868959894824+0j),0,(0.37559240537953564+0j),11.9,(5.70773419991795+0j),0,(1.468870645166413+0j),12.3,(24.95959902799051+0j),1,AS
76,(0.8936813183868557+0j),10.9,(24.79787906791094+0j),1,(0.4675710097613689+0j),10.700000000000001,(11.546481320608162+0j),0,(1.4519732524918283+0j),10.9,(24.806009014267243+0j),3,AS
77,(1.1671851301460408+0j),11.5,(36.94337778638398+0j),1,(0.3707858785461813+0j),11.100000000000001,(8.168271055541712+0j),0,(1.6296180091270545+0j),11.5,(50.51875810327952+0j),1,AS
78,(2.0586819292967133+0j),12.200000000000001,(31.691669711498026+0j),3,(0.9140132081412629+0j),12.700000000000001,(13.947439897224541+0j),0,(2.7913089339183914+0j),11.4,(43.51926978216335+0j),5,AS
79,(2.0192961843200075+0j),11.700000000000001,(27.031348564220092+0j),5,(0.7396209934139373+0j),11.100000000000001,(11.592118788251865+0j),0,(2.828759493379616+0j),11.3,(35.1659802255736+0j),6,AS
80,(2.290038971516735+0j),10.600000000000001,(31.359261804539237+0j),1,(1.117976529316207+0j),10.4,(16.13929914533827+0j),0,(2.897215009588584+0j),11.600000000000001,(37.54585234987055+0j),4,AS
81,(0.7934993387554468+0j),11.588411588411589,(17.73195122444545+0j),0,(1.2929816774126703+0j),12.287712287712289,(15.826602539885442+0j),0,(4.487770167068881+0j),10.68931068931069,(80.51341948658836+0j),13,AS
82,(1.2083620409920202+0j),12.012012012012011,(28.876516632771796+0j),1,(1.7693849418135326+0j),13.013013013013012,(15.455666967972647+0j),0,(5.0543709338919784+0j),11.31131131131131,(91.03981348032697+0j),15,AS
83,(1.8109610313455429+0j),10.18981018981019,(31.67223174161258+0j),1,(3.12314684804093+0j),11.788211788211788,(38.30937566999059+0j),5,(7.449164068023683+0j),10.88911088911089,(101.0668498913995+0j),23,AS
84,(1.4601840099747314+0j),11.600000000000001,(21.254852761048365+0j),1,(2.735168918410888+0j),12.3,(37.4303578859833+0j),2,(6.523853905169132+0j),10.9,(77.610720687452+0j),15,AS
85,(1.3106000304710919+0j),13.3,(14.97298848585732+0j),0,(3.3325259135130176+0j),11.4,(47.84320526178602+0j),6,(5.703462961438017+0j),10.5,(64.2349973208087+0j),15,AS
86,(2.9894818331036324+0j),12.3,(45.29337804042327+0j),4,(3.7947259066870234+0j),12.8,(51.32166215371953+0j),5,(12.101488397714855+0j),12.4,(226.6698677122373+0j),32,AS
87,(2.182677962394189+0j),13.4,(26.395036495278568+0j),3,(2.455288466867378+0j),12.9,(27.722658850450106+0j),2,(8.98591886258339+0j),13.8,(128.79118005592136+0j),26,AS
