,freq,PSD,FHAT,weighted
43,18.33976833976834,(0.9800294350884781+0j),(-22.47953938768935-22.582754563360652j),(17.973512805676723+0j)
44,18.53281853281853,(5.235322290611825+0j),(-39.327768595250426-62.26652800977653j),(97.0252779727288+0j)
45,18.725868725868725,(7.35123470140075+0j),(-87.07327506007695+5.841568365033204j),(137.6582559914812+0j)
46,18.91891891891892,(6.112547466068921+0j),(-26.27998358554335+75.11299246862006j),(115.64278989860122+0j)
47,19.111969111969113,(10.252690948615772+0j),(-99.43895213652718-27.08657639413657j),(195.94911272450994+0j)
48,19.305019305019304,(6.937730646996508+0j),(-0.9975289942620194+84.77319084589178j),(133.93302407329165+0j)
49,19.498069498069498,(0.4825354462683611+0j),(9.997881768907227+19.99872702121249j),(9.408509666622484+0j)
50,19.69111969111969,(8.801877056217542+0j),(92.00957595299445-25.553523498561205j),(173.31881462049986+0j)
51,19.884169884169886,(3.176442725022942+0j),(-52.031611460534045+24.15587034126053j),(63.160926771691706+0j)
52,20.077220077220076,(10.013509549653824+0j),(-6.372664837176387-101.65325885732526j),(201.04343497374472+0j)
53,20.27027027027027,(4.735693511574855+0j),(-64.10317631002506+28.230502385848382j),(95.9937873967876+0j)
54,20.463320463320464,(8.71360629567664+0j),(-94.1722350418897+12.605009699959737j),(178.3093180196378+0j)
55,20.656370656370658,(4.495672676828778+0j),(22.55963823866807+64.40946837022518j),(92.8642811622933+0j)
56,20.84942084942085,(2.9034014743425507+0j),(-54.7765613453751-2.7298817914409454j),(60.53423923339681+0j)
57,21.042471042471043,(5.048260612702708+0j),(56.752980265717056-44.82295422793031j),(106.22787775764385+0j)
58,21.235521235521237,(1.8259105538254268+0j),(-38.75343849816525-19.74371642655114j),(38.77416233992219+0j)
59,21.42857142857143,(5.122392718414019+0j),(-66.05924130877906+30.707906050159487j),(109.765558251729+0j)
60,21.62162162162162,(2.6502856504616967+0j),(-18.88943818782075+48.876221814158434j),(57.303473523496145+0j)
61,21.814671814671815,(4.145949276669499+0j),(-53.20399165672142-38.26929215991743j),(90.44252283082112+0j)
62,22.00772200772201,(1.6161928514085933+0j),(-11.08775560231351+39.3882910236363j),(35.568722984667886+0j)
63,22.2007722007722,(0.23866284796454484+0j),(3.8967310475286645+15.233850387689076j),(5.298499520448389+0j)
64,22.393822393822393,(1.6425922230974273+0j),(28.254921131290835+30.056363302859335j),(36.783918509517676+0j)
65,22.586872586872587,(2.561883678978231+0j),(-16.698916402983734+48.736615417851986j),(57.864940239469696+0j)
66,22.77992277992278,(4.752820034237458+0j),(52.3040937803045-46.77823563679074j),(108.26887336679924+0j)
67,22.972972972972972,(0.47882677479453256+0j),(-5.643662267227043-21.54561706938591j),(11.000074556090613+0j)
68,23.166023166023166,(1.279912474336185+0j),(-9.995939482962076-35.01528976411944j),(29.65048203095409+0j)
69,23.35907335907336,(0.2116697008713573+0j),(-8.405705108258548+12.191551654146503j),(4.94440807054715+0j)
70,23.552123552123554,(7.35511116932083+0j),(-87.22070798240429+3.527502014816747j),(173.22848699944814+0j)
71,23.745173745173744,(2.039318313381533+0j),(8.233526315588723+45.22104396267048j),(48.42396767295918+0j)
72,23.93822393822394,(0.38266188288457337+0j),(15.260165661943782+12.789255437219552j),(9.160245845113339+0j)
73,24.131274131274132,(0.19099213236027346+0j),(-11.095537314189585-8.646207309258198j),(4.608883502902352+0j)
74,24.324324324324326,(0.401979189501472+0j),(7.503406221975814+18.977600886085142j),(9.777872177062832+0j)
75,24.517374517374517,(0.4788035947862978+0j),(0.6667186346148668-22.26198577083504j),(11.739007053640892+0j)
76,24.71042471042471,(1.1462260145924497+0j),(-31.14567687156815+14.745743905603494j),(28.323731634716903+0j)
77,24.903474903474905,(0.23508456392420915+0j),(15.560532525279623+1.190561109391549j),(5.854422537880884+0j)
78,25.096525096525095,(0.10152667125875268+0j),(2.309558838814951-9.992375563104076j),(2.54796665321194+0j)
79,25.28957528957529,(2.157458206430946+0j),(-41.667092890777134+22.337861846958624j),(54.56120174564748+0j)
80,25.482625482625483,(1.0864272515428117+0j),(18.967751991484636+27.672423402873186j),(27.68501876518362+0j)
81,25.675675675675677,(1.8529089330425772+0j),(7.997831712520672+43.07723694168776j),(47.57468882136347+0j)
82,25.868725868725868,(0.5248871395715998+0j),(21.878823172682047-8.068467833156951j),(13.57816152559737+0j)
83,26.06177606177606,(0.10706455498195794+0j),(3.335361436370903-9.989706855062277j),(2.7902924560934985+0j)
84,26.254826254826256,(0.02798952805100733+0j),(-3.1517659114614958-4.366179416857818j),(0.7348601959337832+0j)
85,26.44787644787645,(0.33469848301213645+0j),(-18.400183435513267-2.8602234073646375j),(8.852064125996659+0j)
86,26.64092664092664,(1.1202162708544985+0j),(-33.88016445207925-3.5606900041039964j),(29.8435994938071+0j)
87,26.833976833976834,(1.2238554751553596+0j),(-5.688714146483321+35.15043105881567j),(32.84090946845463+0j)
88,27.027027027027028,(0.91310810547921+0j),(22.71559892645905+20.735996785510793j),(24.678597445384053+0j)
89,27.220077220077222,(0.772211872425632+0j),(-11.349281901094939-25.907630153343504j),(21.019666797686124+0j)
90,27.413127413127413,(0.13727973471332222+0j),(-11.253918764806386-3.946025544537253j),(3.7632668589366323+0j)
91,27.606177606177607,(0.7416171871338418+0j),(25.61184851176305+10.599463273258744j),(20.47321578381069+0j)
92,27.7992277992278,(0.6100225797537359+0j),(-22.609170361089863-10.991306028315567j),(16.95815665724671+0j)
93,27.99227799227799,(0.17667485008910933+0j),(3.2442036296358845+13.134317169224087j),(4.945531517938388+0j)
94,28.185328185328185,(0.5736691707829885+0j),(5.931751155855046+23.64604806635114j),(16.169053848323614+0j)
95,28.37837837837838,(0.09883966388676346+0j),(-10.088947865910171+0.7816794391779496j),(2.8049093805703147+0j)
96,28.571428571428573,(0.6776605743202716+0j),(18.480998976043452+18.987075389413775j),(19.361730694864903+0j)
97,28.764478764478763,(0.47577529262881924+0j),(16.019552864239607-15.371308636329223j),(13.68542830148534+0j)
98,28.957528957528957,(0.038788517120488614+0j),(-6.180148053561629-1.41091239022294j),(1.1232196077361567+0j)
99,29.15057915057915,(0.11562002385151832+0j),(-6.463464153350653-8.832099175650379j),(3.370390656675534+0j)
100,29.343629343629345,(0.1869910655607604+0j),(-0.8184177670122494-13.89434907721792j),(5.486996518385247+0j)
101,29.536679536679536,(0.8468604490101187+0j),(-26.50049720384225+13.23144259420083j),(25.013445694700415+0j)
102,29.72972972972973,(0.11308989535111924+0j),(7.973648582743937+7.319976766538616j),(3.3621320239521935+0j)
103,29.922779922779924,(0.33715735160334975+0j),(-8.037088981350143+16.873061872906483j),(10.088685231374365+0j)
